============================================================
LIMELIGHT MODEL TRAINER
============================================================

Job ID: bd41a092
Spinning up 1 NVIDIA H100 GPU...

Steps: 20000, Batch size: 16, Platform: coral

STAGE 1/6: Downloading dataset...
  Downloading from Google Drive...
  Downloaded: 26.87 MB
  Extracting dataset...
  Archive contains 11 files
  Scanning for TFRecords and label map...
    Found label map: test/balls_label_map.pbtxt
    Found train record: train/balls.tfrecord
    Found label map: train/balls_label_map.pbtxt
    Found val record: valid/balls.tfrecord
    Found label map: valid/balls_label_map.pbtxt

STAGE 2/6: Loading pretrained model...
  Pretrained model ready

STAGE 3/6: Configuring training pipeline...
  Detected 1 classes: ['Fuels']

STAGE 4/6: Training model...
----------------------------------------
  Starting validation evaluation thread...
  Validation thread started (will evaluate at each checkpoint)
  Progress check #1: No loss data yet
  Progress check #2: No loss data yet
  Progress check #3: No loss data yet
  Progress check #4: No loss data yet
  Progress check #5: No loss data yet
  TensorBoard val tags: ['eval_side_by_side_0_0', 'eval_side_by_side_1_0', 'eval_side_by_side_2_0', 'eval_side_by_side_3_0', 'eval_side_by_side_4_0', 'eval_side_by_side_5_0', 'eval_side_by_side_6_0', 'eval_side_by_side_7_0', 'eval_side_by_side_8_0', 'eval_side_by_side_9_0']
  TensorBoard train tags: ['train_input_images', 'steps_per_sec', 'Loss/localization_loss', 'Loss/classification_loss', 'Loss/regularization_loss', 'Loss/total_loss', 'learning_rate']
  Step 3025/20000 - Train Loss: 0.0130 | Val: 0.0061
  Step 3050/20000 - Train Loss: 0.0414 | Val: 0.0061
  Step 3100/20000 - Train Loss: 0.0072 | Val: 0.0061
  Step 3150/20000 - Train Loss: 0.0061 | Val: 0.0061
  Step 3175/20000 - Train Loss: 0.0084 | Val: 0.0061
  Step 3225/20000 - Train Loss: 0.0082 | Val: 0.0061
  Step 3250/20000 - Train Loss: 0.0083 | Val: 0.0061
  Step 3300/20000 - Train Loss: 0.0127 | Val: 0.0061
  Step 3325/20000 - Train Loss: 0.0128 | Val: 0.0061
  Step 3375/20000 - Train Loss: 0.0105 | Val: 0.0061
  Step 3425/20000 - Train Loss: 0.0072 | Val: 0.0061
  Step 3450/20000 - Train Loss: 0.0067 | Val: 0.0061
  Step 3500/20000 - Train Loss: 0.0074 | Val: 0.0061
  Step 3525/20000 - Train Loss: 0.0084 | Val: 0.0072
  Step 3575/20000 - Train Loss: 0.0057 | Val: 0.0072
  Step 3600/20000 - Train Loss: 0.0088 | Val: 0.0072
  Step 3650/20000 - Train Loss: 0.0126 | Val: 0.0072
  Step 3700/20000 - Train Loss: 0.0095 | Val: 0.0072
  Step 3725/20000 - Train Loss: 0.0421 | Val: 0.0072
  Step 3775/20000 - Train Loss: 0.0079 | Val: 0.0072
  Step 3800/20000 - Train Loss: 0.0085 | Val: 0.0072
  Step 3850/20000 - Train Loss: 0.0065 | Val: 0.0072
  Step 3875/20000 - Train Loss: 0.0080 | Val: 0.0072
  Step 3925/20000 - Train Loss: 0.0073 | Val: 0.0072
  Step 3975/20000 - Train Loss: 0.0062 | Val: 0.0072
  Step 4000/20000 - Train Loss: 0.0057 | Val: 0.0072
  Step 4050/20000 - Train Loss: 0.0048 | Val: 0.0057
  Step 4075/20000 - Train Loss: 0.0059 | Val: 0.0057
  Step 4125/20000 - Train Loss: 0.0093 | Val: 0.0057
  Step 4150/20000 - Train Loss: 0.0064 | Val: 0.0057
  Step 4200/20000 - Train Loss: 0.0066 | Val: 0.0057
  Step 4250/20000 - Train Loss: 0.0122 | Val: 0.0057
  Step 4275/20000 - Train Loss: 0.0227 | Val: 0.0057
  Step 4325/20000 - Train Loss: 0.0119 | Val: 0.0057
  Step 4350/20000 - Train Loss: 0.0096 | Val: 0.0057
  Step 4400/20000 - Train Loss: 0.0063 | Val: 0.0057
  Step 4425/20000 - Train Loss: 0.0053 | Val: 0.0057
  Step 4475/20000 - Train Loss: 0.0067 | Val: 0.0057
  Step 4525/20000 - Train Loss: 0.0064 | Val: 0.0060
  Step 4550/20000 - Train Loss: 0.0072 | Val: 0.0060
